grid_id,ward_id,ward_gid,lon,lat,LST_C,NDVI,NDVI_prev,ndvi_delta,change_class,pop_density_km2,child_pct,slum_pct,hospital_dist_m,impervious_pct,worldcover_class,dist_to_water_m,HVI,contrib_LST_C,contrib_NDVI,contrib_pop_density_km2,contrib_child_pct,contrib_slum_pct,contrib_hospital_dist_m,contrib_impervious_pct,plantable,nbs_fired
cell_0000,R/C,11,72.790495,19.23244,31.48195181463496,0.4358751695818359,0.43426429742341754,0.001610872158418375,stable,9987.258477051098,7.9836,0.0,3226.0003024927128,0.0,95,48.69705991909413,25.412501383950953,-0.0641784807294857,-0.06138672621700248,-0.21698224758661452,-0.028736928661513183,-0.0684871123896427,0.28095341133621315,-0.23219850092532565,False,False
cell_0001,P/N,21,72.790737,19.214378,31.258521197806857,0.44578533390733655,0.4570078043448492,-0.011222470437512677,stable,8396.372419251988,10.6313,0.0,2591.7736112469966,0.0,10,218.07013808668808,22.93376146608594,-0.08005527779399622,-0.07114448529154932,-0.2262409525394592,0.021117358991766047,-0.0684871123896427,0.1949789809889227,-0.23219850092532565,True,False
cell_0002,P/N,21,72.790858,19.205347,30.4578045822538,0.3428255572132447,0.22903677993172647,0.11378877728151823,gained,7256.352108634269,10.6313,0.0,2805.7791613186605,3.69625729480812,95,29.143324257633616,26.041257534478955,-0.13695354622198957,0.030231905891483758,-0.23287569023454097,0.021117358991766047,-0.0684871123896427,0.2239891212314146,-0.21002539157463213,False,False
cell_0003,T,13,72.952913,19.171098,32.42761814310662,0.32500367614769543,0.306534909193199,0.01846876695449645,stable,100592.45914430916,8.1423,3.649062027114641,128.79884368115702,67.7801001957467,50,293.13225754052473,51.026664038172584,0.0030197958587064293,0.04777970994205614,0.31032567371855513,-0.025748721745859807,-0.028077172755810616,-0.1388966750250314,0.17440078412776527,False,False
cell_0004,T,13,72.953024,19.162066,33.622673441759915,0.3386286078432064,0.31144065034346324,0.027187957499743176,stable,103254.09277336838,8.1423,6.430881429324586,640.3357390057306,48.168190686007854,50,200.69115039707938,53.45242165753028,0.08793944888989211,0.03436431171804768,0.3258159599921811,-0.025748721745859807,0.0027288681610693854,-0.06955381420854605,0.056752855574155374,False,False
cell_0005,L,24,72.8873,19.098093,37.65350627166577,0.23015643725311144,0.20685440335575964,0.023302033897351804,stable,80108.41290369771,11.4873,45.702680037856005,124.17978541646524,87.87758082719243,50,635.2375768668136,85.72753391752846,0.37436713615093453,0.14116832345251737,0.1911117680761708,0.037235223640784826,0.4376272062245643,-0.1395228248048015,0.29496155686954056,False,True
cell_0006,L,24,72.887414,19.089061,37.78737698468431,0.22972950979718745,0.20254320003220255,0.0271863097649849,stable,75561.12005471265,11.4873,42.757773672758425,610.6734730374304,82.87394974720912,50,693.0537949811792,85.26639303346441,0.3838798796309915,0.14158868532749616,0.16464724372099576,0.037235223640784826,0.4050151301467623,-0.0735747683163359,0.26494577327059127,False,True
cell_0007,L,24,72.887529,19.08003,35.25786812643963,0.27366508727536903,0.24137565979833267,0.032289427477036364,stable,83341.04426437273,11.4873,8.10727928439944,468.3699692009869,74.93028536523829,50,287.46985419838285,63.33224171800457,0.20413504705001237,0.09832877905833096,0.20992517073506958,0.037235223640784826,0.02129340217624636,-0.09286513065465278,0.2172933170322081,False,True
cell_0008,M/W,17,72.888215,19.025841,33.63933444686099,0.367500172087958,0.3013740240922365,0.06612614799572147,gained,82619.69890441948,10.032,1.5667481672828751,1340.2354635834467,44.4107196227543,50,141.54607681669162,50.19646234159495,0.08912336629850802,0.005936754035611868,0.2057270549591665,0.009832970809339705,-0.05113684583049084,0.025323113791133146,0.034212537051249985,False,False
cell_0009,R/C,11,72.790254,19.250501,29.710393393466184,0.5486486341136599,0.5590724933923517,-0.010423859278691716,stable,8344.902520255435,7.9836,0.0,4700.730310431802,0.3170591766410968,10,330.57513120664345,23.853296729986422,-0.19006397458040486,-0.17242588366789596,-0.22654049920178967,-0.028736928661513183,-0.0684871123896427,0.480864695579999,-0.2302965262429412,True,False
